node_id,parent_id,tag,value,path,xpath,parent_path,depth,index_in_parent
270c323a-439d-4441-9b65-9b1ca0258f23,69a12dec-18d3-4d79-b181-2336c0e6d325,ThirdFuturePlannedPriceValidityDate,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ThirdFuturePlannedPriceValidityDate,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ThirdFuturePlannedPriceValidityDate,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea,4,16
f3d53bdf-4ede-4b8f-9dea-eaddb9056381,270c323a-439d-4441-9b65-9b1ca0258f23,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ThirdFuturePlannedPriceValidityDate.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ThirdFuturePlannedPriceValidityDate/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ThirdFuturePlannedPriceValidityDate,5,0
0cb5545d-3834-4647-b2f0-64065c108506,69a12dec-18d3-4d79-b181-2336c0e6d325,ValuationMargin,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationMargin,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationMargin,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea,4,17
0ab03a1b-cf9d-4ace-8a2a-0062b7a29110,0cb5545d-3834-4647-b2f0-64065c108506,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationMargin.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationMargin/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationMargin,5,0
e7135952-5c8b-46f9-ba47-51681f110c93,69a12dec-18d3-4d79-b181-2336c0e6d325,PriceLastChangeDate,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.PriceLastChangeDate,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/PriceLastChangeDate,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea,4,18
722deeb1-57c8-41ba-b466-f60105496c3d,e7135952-5c8b-46f9-ba47-51681f110c93,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.PriceLastChangeDate.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/PriceLastChangeDate/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.PriceLastChangeDate,5,0
f563dc62-c7cd-405b-8365-0c2bf769cba5,69a12dec-18d3-4d79-b181-2336c0e6d325,PreviousInventoryPriceInCompanyCodeCurrency,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.PreviousInventoryPriceInCompanyCodeCurrency,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/PreviousInventoryPriceInCompanyCodeCurrency,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea,4,19
af50140b-bfd6-473e-986d-cbabab114945,f563dc62-c7cd-405b-8365-0c2bf769cba5,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.PreviousInventoryPriceInCompanyCodeCurrency.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/PreviousInventoryPriceInCompanyCodeCurrency/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.PreviousInventoryPriceInCompanyCodeCurrency,5,0
e342084f-6390-4df7-8eb8-12c98542f54a,69a12dec-18d3-4d79-b181-2336c0e6d325,ValuationAccount,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea,4,20
336be290-48a9-4e6f-8c44-13bb66120565,e342084f-6390-4df7-8eb8-12c98542f54a,@actionCode,04,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.@actionCode,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/@actionCode,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,0
